[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 36
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 36
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 37
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 37
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 38
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 38
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/rolesModel.php on line 179
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/rolesModel.php on line 179
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/ubuntu/workspace/vbmscms/src/core/model/rolesModel.php on line 181
[13-Jan-2015 08:20:44 UTC] PHP Notice:  Trying to get property of non-object in /home/ubuntu/workspace/vbmscms/src/core/context.php on line 126
[13-Jan-2015 08:20:44 UTC] PHP Notice:  Trying to get property of non-object in /home/ubuntu/workspace/vbmscms/src/core/context.php on line 126
[13-Jan-2015 08:20:44 UTC] PHP Notice:  Trying to get property of non-object in /home/ubuntu/workspace/vbmscms/src/core/context.php on line 127
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/rolesModel.php on line 100
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/rolesModel.php on line 100
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/ubuntu/workspace/vbmscms/src/core/model/rolesModel.php on line 103
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/domainsModel.php on line 24
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/domainsModel.php on line 24
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/domainsModel.php on line 24
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/domainsModel.php on line 24
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 98
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 98
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 99
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 99
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/domainsModel.php on line 24
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/domainsModel.php on line 24
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 111
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/templateModel.php on line 313
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/templateModel.php on line 313
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Notice:  Trying to get property of non-object in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 114
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 228
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 228
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 229
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 229
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 230
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 230
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 231
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 231
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 232
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 232
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 233
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 233
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 234
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 234
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 235
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 235
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/domainsModel.php on line 24
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/domainsModel.php on line 24
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/codeModel.php on line 28
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/codeModel.php on line 28
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/codeModel.php on line 29
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/codeModel.php on line 29
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/ubuntu/workspace/vbmscms/src/core/model/codeModel.php on line 19
[13-Jan-2015 08:20:44 UTC] PHP Notice:  Trying to get property of non-object in /home/ubuntu/workspace/vbmscms/src/core/model/codeModel.php on line 19
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 248
[13-Jan-2015 08:20:44 UTC] PHP Notice:  Trying to get property of non-object in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 248
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:20:44 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:21:16 UTC] PHP Strict Standards:  Declaration of AdminTemplate::renderMainTemplateArea() should be compatible with TemplateRenderer::renderMainTemplateArea($teplateArea, $pageId = NULL) in /home/ubuntu/workspace/vbmscms/src/core/template/adminTemplate.php on line 5
[13-Jan-2015 08:21:52 UTC] PHP Strict Standards:  Declaration of AdminTemplate::renderMainTemplateArea() should be compatible with TemplateRenderer::renderMainTemplateArea($teplateArea, $pageId = NULL) in /home/ubuntu/workspace/vbmscms/src/core/template/adminTemplate.php on line 5
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_connect(): Can't connect to MySQL server on 'rdbms.strato.de' (4) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 179
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 21
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 21
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 22
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 22
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 44
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 44
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 36
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 36
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 37
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 37
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 38
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 38
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/rolesModel.php on line 179
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/rolesModel.php on line 179
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/ubuntu/workspace/vbmscms/src/core/model/rolesModel.php on line 181
[13-Jan-2015 08:22:16 UTC] PHP Notice:  Trying to get property of non-object in /home/ubuntu/workspace/vbmscms/src/core/context.php on line 126
[13-Jan-2015 08:22:16 UTC] PHP Notice:  Trying to get property of non-object in /home/ubuntu/workspace/vbmscms/src/core/context.php on line 126
[13-Jan-2015 08:22:16 UTC] PHP Notice:  Trying to get property of non-object in /home/ubuntu/workspace/vbmscms/src/core/context.php on line 127
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/rolesModel.php on line 100
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/rolesModel.php on line 100
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_fetch_object(): supplied argument is not a valid MySQL result resource in /home/ubuntu/workspace/vbmscms/src/core/model/rolesModel.php on line 103
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/domainsModel.php on line 24
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/domainsModel.php on line 24
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/domainsModel.php on line 24
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/domainsModel.php on line 24
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 98
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 98
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 99
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/pagesModel.php on line 99
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/domainsModel.php on line 24
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/domainsModel.php on line 24
[13-Jan-2015 08:22:16 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
